carries,rushing_yards,rushing_tds,rushing_first_downs,receptions,targets,receiving_yards,receiving_yards_after_catch,receiving_first_downs,target_share,wopr_x,fantasy_points_ppr,tgt_sh,yac_sh,wopr_y,ry_sh,yptmpa,ppr_sh,player_id,player_name,season,team
18,37.0,4,12.0,16,20,70.0,50.0,5.0,0.5026184764050694,0.8190721816031047,56.7,0.0366300366300366,0.0255754475703324,0.0581424969914178,0.0169082125603864,0.1282051282051282,0.0388808887060275,00-0022999,John Kuhn,2016,NO
1,2.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0023883448770002,00-0022999,John Kuhn,2017,NO
263,1025.0,4,50.0,38,47,277.0,286.0,14.0,1.315025432505015,1.9806056621868728,214.2,0.0806174957118353,0.1588888888888888,0.1210912600694031,0.0616789133823202,0.4751286449399657,0.1398592266607467,00-0023500,Frank Gore,2016,IND
261,961.0,3,49.0,29,38,245.0,275.0,9.0,1.3022527222756055,1.8632902844342203,173.6,0.0780287474332648,0.1670716889428918,0.1113878737328228,0.0759454432734035,0.5030800821355236,0.1624342683908153,00-0023500,Frank Gore,2017,IND
156,722.0,0,25.0,12,16,124.0,115.0,8.0,0.5888371125442063,0.9570669317891491,102.6,0.0399002493765586,0.0727387729285262,0.0648652994379722,0.0411549950215731,0.3092269326683292,0.0929752066115702,00-0023500,Frank Gore,2018,MIA
166,599.0,2,30.0,13,16,100.0,88.0,5.0,0.4981116504158366,0.8037882033571178,94.9,0.0328542094455852,0.0614954577218728,0.0518448298470228,0.0305997552019583,0.2053388090349076,0.0800357588638127,00-0023500,Frank Gore,2019,BUF
187,653.0,2,32.0,16,19,89.0,73.0,3.0,0.6321398684265216,1.039280371806739,100.2,0.0408602150537634,0.053834808259587,0.0680818331923805,0.0312390312390312,0.1913978494623656,0.100900247719171,00-0023500,Frank Gore,2020,NYJ
94,438.0,2,22.0,52,71,427.0,407.0,19.0,1.8808697339888245,2.907536059054563,162.5,0.1252204585537918,0.2468162522741055,0.1942645113600996,0.1176957001102535,0.7530864197530864,0.1293460264900662,00-0023564,Darren Sproles,2016,PHI
15,61.0,0,4.0,7,12,73.0,83.0,3.0,0.2994152046783626,0.4358041358957062,20.4,0.1034482758620689,0.2794612794612794,0.1462683042040623,0.0894607843137254,0.6293103448275862,0.0728467361805456,00-0023564,Darren Sproles,2017,PHI
29,120.0,1,6.0,15,23,160.0,127.0,6.0,0.6334665317739999,1.0091472888983204,61.0,0.1040723981900452,0.1506524317912218,0.1707014311612893,0.0969696969696969,0.7239819004524887,0.1031450794724382,00-0023564,Darren Sproles,2018,PHI
17,66.0,0,3.0,6,10,24.0,25.0,1.0,0.2555269789312342,0.4193250074538845,17.0,0.0458715596330275,0.0467289719626168,0.0752005200568934,0.0169611307420494,0.110091743119266,0.0307636626854867,00-0023564,Darren Sproles,2019,PHI
12,-3.0,1,2.0,7,10,90.0,40.0,6.0,0.3352752258634611,0.6570383126918004,23.7,0.0327868852459016,0.0549450549450549,0.0698362943726905,0.0437743190661478,0.2950819672131147,0.0275600623299299,00-0024217,Reggie Bush,2016,BUF
98,343.0,4,20.0,18,27,118.0,132.0,6.0,0.7038910283591135,1.000608090267091,100.1,0.087378640776699,0.1390937829293993,0.1255545221574675,0.0530098831985624,0.3818770226537217,0.1248223059081726,00-0024242,DeAngelo Williams,2016,PIT
37,72.0,0,3.0,3,6,8.0,11.0,0.0,0.1811897779639715,0.278269072028745,9.0,0.0566037735849056,0.0317919075144508,0.0867639646746872,0.009840098400984,0.0754716981132075,0.0423091387739751,00-0025394,Adrian Peterson,2016,MIN
156,529.0,2,20.0,11,19,70.0,55.0,3.0,0.5660236700815442,0.9141795154058894,78.9,0.0535211267605633,0.0531400966183574,0.0893343897852033,0.0271528316524437,0.1971830985915492,0.0907188520443361,00-0025394,Adrian Peterson,2017,ARI
251,1042.0,7,47.0,20,26,208.0,201.0,9.0,0.8467009887830886,1.3123806950461576,189.0,0.0510805500982318,0.1326732673267326,0.078337154110399,0.0632795862488591,0.4086444007858546,0.164264979401693,00-0025394,Adrian Peterson,2018,WAS
