receptions,targets,receiving_yards,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,target_share,air_yards_share,wopr_x,fantasy_points_ppr,tgt_sh,ay_sh,wopr_y,ry_sh,rfd_sh,rtdfd_sh,w8dom,yptmpa,ppr_sh,player_id,player_name,season
53,93,548.0,769.0,188.0,34.0,2.596262989366437,2.5279264233746543,5.663942980411915,147.8,0.1987179487179487,0.191055900621118,0.4509216435738175,0.1567057477838147,0.1954022988505747,0.2029702970297029,0.1753645982270517,1.170940170940171,0.1263917631565445,00-0021547,Antonio Gates,2016
30,52,316.0,432.0,66.0,16.0,1.414265720626398,1.3819571525246557,3.088768587706856,79.6,0.0891938250428816,0.0903765690376569,0.206091992794448,0.069435288947484,0.0727272727272727,0.0766129032258064,0.0769768025865587,0.5420240137221269,0.0538332521776767,00-0021547,Antonio Gates,2017
28,45,333.0,356.0,126.0,19.0,1.3836443374830376,1.4001950498091351,3.055603041090951,75.3,0.0925925925925925,0.0969763007354944,0.2164699294772844,0.0814579256360078,0.094059405940594,0.0905172413793103,0.0784996738421396,0.6851851851851852,0.0514829552446978,00-0021547,Antonio Gates,2018
69,95,673.0,596.0,273.0,33.0,3.028307218998574,2.547235304420838,6.325525541592447,152.3,0.2043010752688172,0.1599141400590287,0.4343829249504488,0.183879781420765,0.1783783783783784,0.1722488038277512,0.172103825136612,1.4473118279569892,0.1085531004989308,00-0022127,Jason Witten,2016
63,87,560.0,602.0,105.0,26.0,2.856391884118982,2.5094826845962777,6.041225705395867,147.0,0.1764705882352941,0.1526756276946487,0.3868463845086601,0.1683704149128082,0.1604938271604938,0.1684782608695652,0.180150877384792,1.1359026369168357,0.1141623435121617,00-0022127,Jason Witten,2017
63,83,529.0,546.0,162.0,27.0,2.354516840890608,1.7885913924141652,4.783789236025827,139.9,0.1390284757118928,0.097274184927846,0.286362061510116,0.1079151366789065,0.1179039301310043,0.1196911196911196,0.1129987760097919,0.8860971524288107,0.0838940260737116,00-0022127,Jason Witten,2019
13,17,69.0,91.0,20.0,8.0,0.5612074926379758,0.384409805839928,1.1108981030449132,31.9,0.0502958579881656,0.0329829648423341,0.1018301588561158,0.0252469813391877,0.0610687022900763,0.0657894736842105,0.0392452041189692,0.2041420118343195,0.0323031432274789,00-0022127,Jason Witten,2020
61,79,522.0,416.0,263.0,30.0,2.160798393215037,1.6909504737209955,4.424862921427253,137.2,0.1393298059964726,0.1082769390942217,0.2956162602700863,0.1613601236476043,0.1785714285714285,0.1808510638297872,0.1690880989180834,0.9206349206349206,0.1082445759368836,00-0022943,Benjamin Watson,2017
35,46,400.0,470.0,87.0,21.0,1.4251722462292564,1.9368988887366057,3.4935875914595087,87.0,0.1057471264367816,0.1483585858585858,0.277307558342041,0.1139601139601139,0.1206896551724138,0.1144278606965174,0.105982905982906,0.9195402298850576,0.0633879781420765,00-0022943,Benjamin Watson,2018
17,24,173.0,214.0,83.0,9.0,0.6258784225773292,0.7629468006113211,1.4728803942939186,34.3,0.0670391061452514,0.0776206021037359,0.1626551409008658,0.0773703041144901,0.0841121495327102,0.075,0.0618962432915921,0.4832402234636871,0.0439777418775803,00-0022943,Benjamin Watson,2019
44,59,583.0,525.0,238.0,22.0,1.529299497479638,1.548992827968985,3.3782442257977467,114.3,0.1033274956217162,0.1055276381909547,0.2394133539853382,0.126163168145423,0.1032863849765258,0.1016949152542373,0.1183218388641645,1.021015761821366,0.0766836180176312,00-0024221,Vernon Davis,2016
43,69,648.0,746.0,306.0,23.0,2.1144413644413644,2.7452970798538026,5.093370002559708,121.8,0.1277777777777777,0.1796291837226101,0.3353700136447548,0.1583190813584168,0.1204188481675392,0.1192660550458715,0.1488774873089556,1.2,0.090167453842851,00-0024221,Vernon Davis,2017
25,36,367.0,416.0,168.0,16.0,1.1325093547786955,1.5220258292168405,2.764182112619832,75.7,0.0831408775981524,0.123076923076923,0.2231728548587671,0.1284114765570329,0.1203007518796992,0.1224489795918367,0.1313006098170548,0.8475750577367206,0.075299407153941,00-0024221,Vernon Davis,2018
10,19,123.0,131.0,80.0,4.0,0.5199830548667759,0.5175606641123882,1.1422670471788354,28.3,0.125,0.124170616113744,0.2868364928909953,0.1142061281337047,0.0754716981132075,0.0833333333333333,0.1199363310783923,0.8092105263157895,0.0858408153360834,00-0024221,Vernon Davis,2019
20,30,169.0,139.0,106.0,9.0,0.702017063583771,0.4061945055980115,1.3373617492942649,42.900000000000006,0.072289156626506,0.0403249202204815,0.1406936711161442,0.0644300419367136,0.0629370629370629,0.062111801242236,0.062655144660482,0.4072289156626506,0.0492639121747318,00-0024243,Marcedes Lewis,2016
24,48,318.0,384.0,163.0,18.0,1.5398815997751087,1.5754059956588409,3.412606596623852,87.8,0.0910815939278937,0.0936813857038302,0.2115674994549047,0.0855758880516684,0.0932642487046632,0.1074766355140186,0.1160797580603823,0.603415559772296,0.0646329613380053,00-0024243,Marcedes Lewis,2017
