,Round,,Pick #,,Next Pick,On Deck,,,,,,,,Top minus bottom,,,,,,,10.00
,1,,1,,Todd,Cooper,,,,League Site,ESPN,League Type:,Standard,ESPN Rank,,,,,,,SM
,,,,,,,,,,,,,,,,,,,,,
,,,,Click to Draft Player,,,,,,From ESPN,,From FantasyPros.com,,Avg Rank,Dynasty,SleeperPPR,,,,Custom,
Default Rank,Owner,Pick #,Drafted,Draft,Player,Pos,Team,Bye,Status,ESPN Rank,ESPN ADP,Avg Rank,Avg ADP,Diff,Rank,ADP,ESPN - Sleeper ADP,VBD,Prj Points,Rank,
1,,,No,FALSE,Ja'Marr Chase,WR,CIN,10,,1,1.6,1,1.0,0,1,1.1,0.5,132,231.1,,
2,,,No,FALSE,Bijan Robinson,RB,ATL,5,,2,3.2,3,2.5,-1,4,3.4,-0.2,172,260.5,,
3,,,No,FALSE,Justin Jefferson,WR,MIN,6,Q: Aug 16,3,4.7,4,5.0,-1,2,4.4,0.3,106,205.1,,
4,,,No,FALSE,Saquon Barkley,RB,PHI,9,,4,3.5,2,3.0,2,13,2.4,1.1,185,273.2,,
5,,,No,FALSE,Jahmyr Gibbs,RB,DET,8,,5,5.3,5,4.0,0,6,5.6,-0.3,171,259.2,,
6,,,No,FALSE,CeeDee Lamb,WR,DAL,10,,6,7.0,6,5.5,0,5,5.9,1.1,94,192.9,,
7,,,No,FALSE,Christian McCaffrey,RB,SF,14,,7,8.4,14,10.5,-7,56,13.8,-5.4,140,228.7,,
8,,,No,FALSE,Puka Nacua,WR,LAR,8,,8,10.0,9,8.5,-1,10,8.0,2.0,89,187.9,,
9,,,No,FALSE,Malik Nabers,WR,NYG,14,Q: Aug 16,9,12.4,10,9.0,-1,3,9.1,3.3,82,181.3,,
10,,,No,FALSE,Amon-Ra St. Brown,WR,DET,8,,10,10.2,13,9.5,-3,8,7.6,2.6,82,181.4,,
11,,,No,FALSE,Ashton Jeanty,RB,LV,8,,11,12.4,12,9.5,-1,9,11.1,1.3,129,217.6,,
12,,,No,FALSE,De'Von Achane,RB,MIA,12,,12,14.3,17,14.0,-5,15,15.4,-1.1,132,220.2,,
13,,,No,FALSE,Nico Collins,WR,HOU,6,,13,16.1,8,13.5,5,11,11.4,4.7,85,183.9,,
14,,,No,FALSE,Brian Thomas Jr.,WR,JAX,8,,14,18.9,11,13.5,3,7,14.5,4.4,82,181.5,,
15,,,No,FALSE,A.J. Brown,WR,PHI,9,Q: Aug 16,15,18.6,15,21.5,0,19,17.4,1.2,73,171.8,,
16,,,No,FALSE,Drake London,WR,ATL,5,,16,22.5,18,19.0,-2,12,17.6,4.9,68,166.9,,
17,,,No,FALSE,Jonathan Taylor,RB,IND,11,,17,19.6,16,22.0,1,27,23.1,-3.5,128,216.4,,
