season,player_display_name,player_position,player_gsis_id,avg_intended_air_yards,avg_time_to_throw,avg_completed_air_yards,total_weeks
2016,Tom Brady,QB,00-0019596,8.516332157730716,2.607246783229336,6.907886182720358,16
2017,Tom Brady,QB,00-0019596,9.098763603029244,2.7127120003412086,6.793756817765567,20
2018,Tom Brady,QB,00-0019596,7.487939294628212,2.587347677098758,5.536823029366654,20
2019,Tom Brady,QB,00-0019596,7.705492480339649,2.7445090858475885,5.513521504600403,18
2020,Tom Brady,QB,00-0019596,9.470352672347918,2.563867855048165,7.134917671794115,21
2021,Tom Brady,QB,00-0019596,7.785272516862767,2.4704491886268096,5.518895395054296,20
2022,Tom Brady,QB,00-0019596,7.049721298248598,2.4507044991218603,4.669834711848541,19
2016,Drew Brees,QB,00-0020531,7.613322489757942,2.4310912003552776,6.312579819935382,17
2017,Drew Brees,QB,00-0020531,6.54981883628393,2.605927658719917,5.129167146654918,19
2018,Drew Brees,QB,00-0020531,7.2328655443367875,2.593196689316681,5.799054382346412,18
2019,Drew Brees,QB,00-0020531,6.600479898679358,2.5698303651606147,5.134445959615959,12
2020,Drew Brees,QB,00-0020531,6.349190821633331,2.6809427504804333,5.422553527931603,14
2016,Shaun Hill,QB,00-0020679,9.941515151515153,2.4536666666666664,8.812777777777777,1
2016,Josh McCown,QB,00-0021206,10.66221922052354,2.8201152605632345,7.467520634920635,5
2017,Josh McCown,QB,00-0021206,7.522403409421165,2.5398951003007184,5.832798293951153,13
2018,Josh McCown,QB,00-0021206,7.011058975528196,2.5508522875816992,3.22897435897436,3
2019,Josh McCown,QB,00-0021206,5.661818181818182,2.9882083333333327,5.2155555555555555,1
2016,Carson Palmer,QB,00-0021429,10.20352419675236,2.493077045711296,7.479478724702673,16
2017,Carson Palmer,QB,00-0021429,9.529418839856763,2.612233205161746,7.3482485059544,8
2019,Matt Schaub,QB,00-0022787,7.128979591836734,2.2847,5.67230769230769,1
2016,Eli Manning,QB,00-0022803,8.379855508739475,2.5321275026966337,5.545916233830736,18
2017,Eli Manning,QB,00-0022803,7.172868853753544,2.5215185644423235,4.979649479297223,16
2018,Eli Manning,QB,00-0022803,7.189159986279526,2.663878259891888,5.395315809649909,17
2019,Eli Manning,QB,00-0022803,8.67634099051069,2.6579217769532058,6.917422710622711,5
2016,Ben Roethlisberger,QB,00-0022924,9.343587941137462,2.5808798435649116,6.456158716565442,18
2017,Ben Roethlisberger,QB,00-0022924,9.222941098428072,2.598156120603699,5.942777113136351,17
2018,Ben Roethlisberger,QB,00-0022924,7.568146813602149,2.533850439425894,4.863347080307835,17
2019,Ben Roethlisberger,QB,00-0022924,8.17158865248227,2.591146808510638,3.1908101851851858,2
2020,Ben Roethlisberger,QB,00-0022924,7.271101841195104,2.313095171186996,4.781672799376289,17
2021,Ben Roethlisberger,QB,00-0022924,6.762985338078011,2.375581568158527,4.437845245612548,18
2016,Philip Rivers,QB,00-0022942,8.84928319800087,2.6462884310307144,6.7612388621183275,17
2017,Philip Rivers,QB,00-0022942,8.242041243301804,2.600859430641204,6.370031814149767,17
