season,team,position,depth_chart_position,jersey_number,status,player_name,first_name,last_name,birth_date,height,weight,college,player_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,ngs_position,week,game_type,status_description_abbr,football_name,draft_number,age
2000,IND,RB,RB,34,CUT,Abdul-Karim al-Jabbar,Abdul-Karim,al-Jabbar,1974-06-28,71.0,205.0,,00-0000003,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rtnc0qkvhmkcwwueac0o",ALJ059326,,3200414c-4a05-9326-21be-1f70bcd6190f,,,,,,,,,,26.0
2000,TB,RB,RB,27,ACT,Rabih Abdullah,Rabih,Abdullah,1975-04-27,73.0,227.0,,00-0000007,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t5s9srq092solu73m9v5",ABD675101,,32004142-4467-5101-8326-4b71f9f0a7b7,,,,,,,,,,25.0
2000,CHI,RB,RB,20,ACT,James Allen,James,Allen,1975-03-28,70.0,215.0,,00-0000210,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tw4x6i01gorfsuoommkb",ALL436745,,3200414c-4c43-6745-6a07-948d378a104e,,,,,,,,,,25.0
2000,NO,RB,RB,20,ACT,Terry Allen,Terry,Allen,1968-02-21,70.0,208.0,,00-0000232,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w0seugiirpz4gikftv38",ALL647052,,3200414c-4c64-7052-fe79-2e294d897a78,,,,,,,,,,32.0
2000,TB,RB,FB,40,ACT,Mike Alstott,Michael,Alstott,1973-12-21,73.0,248.0,,00-0000251,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/loxctvxuynoipeaduqsc",ALS635685,,3200414c-5363-5685-9704-40e67186e91f,,,,,,,,,,26.0
2000,KC,RB,RB,38,ACT,Kimble Anders,Kimble,Anders,1966-09-10,71.0,218.0,,00-0000279,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tekunhsdrndofvfxesco",AND015193,,3200414e-4401-5193-8ae5-7503312c1a09,,,,,,,,,,33.0
2000,ATL,RB,RB,32,ACT,Jamal Anderson,Jamal,Anderson,1972-09-30,71.0,235.0,,00-0000316,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/faws2enuknhawnowkns0",AND291208,,3200414e-4429-1208-c593-c1b93944ea3b,,,,,,,,,,27.0
2000,NYJ,RB,FB,20,ACT,Richie Anderson,Richard,Anderson,1971-09-13,74.0,230.0,,00-0000339,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t05nqplwwgzsyysjmswf",AND421668,,3200414e-4442-1668-92c2-aa673041a926,,,,,,,,,,28.0
2000,PHI,RB,RB,24,ACT,Darnell Autry,Huntington,Autry,1976-06-19,70.0,210.0,,00-0000534,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ledkrjklk2lyswmowzgw",AUT541722,,32004155-5454-1722-9486-88cc8675347d,,,,,,,,,,24.0
2000,BAL,RB,FB,30,RES,Obafemi Ayanbadejo,Obafemi,Ayanbadejo,1975-03-05,74.0,235.0,,00-0000552,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/syqp6rncknmzkbtm3ozk",AYA444955,,32004159-4144-4955-6129-6c136d9bf2d7,,,,,,,,,,25.0
