season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2016,REG,0,Richard Rodgers,TE,GB,7.60578947368421,2.6938820804794577,8.38127659574468,6.884246030705778,30,47,63.829787234042556,271.0,2,3.347666666666666,3.2744280250080995,0.07323864165856664,00-0031384,Richard,Rodgers,82,
2016,REG,0,Delanie Walker,TE,TEN,6.436708860759493,2.872385966301858,10.074803921568629,21.084952890581405,65,102,63.725490196078425,800.0,7,4.013538461538461,4.14262644665172,-0.1290879851132587,00-0024389,Delanie,Walker,82,D.Walker
2016,REG,0,Kyle Rudolph,TE,MIN,6.34868686868687,2.8626669857194025,7.253636363636364,23.428140782210388,83,132,62.878787878787875,840.0,7,4.387710843373493,5.252803831760446,-0.8650929883869534,00-0027981,Kyle,Rudolph,82,K.Rudolph
2016,REG,0,Zach Ertz,TE,PHI,6.3401369863013715,3.2354824947331964,8.420849056603773,18.376216180606164,78,106,73.58490566037736,816.0,4,3.41025641025641,3.96175422677523,-0.55149781651882,00-0030061,Zach,Ertz,86,Z.Ertz
2016,REG,0,Vernon Davis,TE,WAS,6.29711111111111,3.1570746620527532,9.72406779661017,10.04867403111705,44,59,74.57627118644068,581.0,2,5.239318181818178,5.863518022682522,-0.6241998408643434,00-0024221,Vernon,Davis,85,V.Davis
2016,REG,0,Devin Funchess,WR,CAR,6.2188888888888885,2.0438195354467976,14.91310344827586,14.235447079541153,23,58,39.6551724137931,371.0,4,4.440869565217391,3.7156218601263045,0.7252477050910868,00-0032055,Devin,Funchess,17,D.Funchess
2016,REG,0,Martellus Bennett,TE,NE,6.202258064516126,3.8483187480973937,5.981095890410959,9.789773899317483,55,73,75.34246575342466,701.0,7,7.634545454545455,6.570549241761674,1.0639962127837803,00-0026201,Martellus,Bennett,88,M.Bennett
2016,REG,0,Antonio Gates,TE,LAC,6.002941176470588,2.780626610006133,8.80032258064516,15.993113677089296,53,93,56.98924731182796,548.0,7,3.593962264150945,4.03212116479877,-0.43815890064782526,00-0021547,Antonio,Gates,85,A.Gates
2016,REG,0,Will Tye,TE,NYG,5.958979591836734,3.1137151586508343,6.310428571428572,9.017087823369351,48,70,68.57142857142857,395.0,1,3.900208333333333,4.710295345632935,-0.810087012299602,00-0032004,Will,Tye,45,W.Tye
2016,REG,0,Julius Thomas,TE,JAX,5.937297297297298,2.7815903034858867,7.500392156862744,7.00016836125934,30,51,58.82352941176471,281.0,4,3.4149999999999996,5.014092823864234,-1.5990928238642348,00-0028067,Julius,Thomas,80,J.Thomas
