player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0000166,2000,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,46,70,500.0,2,1.0,0.0,0.0,0.0,33.0,17.262099546948548,0,0.0,2.0709496343023392,0.0,0.0,0.0,62.0,108.0,16,0.12658227848101267,,,,0.12899896800825594,0.1111111111111111,0.1793478260869565,0.17326732673267325,0.12005503955968352,0.12542139662882698,0.9041591320072333,0.08560965169554671
00-0000166,2001,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,9,23,85.0,0,0.0,0.0,0.0,0.0,3.0,-5.648391412692023,0,0.0,0.8112179487179487,0.0,0.0,0.0,8.5,17.5,4,0.20175438596491227,,,,0.17418032786885246,0.0,0.17647058823529413,0.16666666666666666,0.08709016393442623,0.13934426229508198,0.7456140350877193,0.12624440917616506
00-0000166,2002,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,45,76,510.0,1,1.0,0.0,0.0,0.0,25.0,-8.739709697434128,0,0.0,2.4226747983907426,0.0,0.0,0.0,57.0,102.0,14,0.16101694915254236,,,,0.17714484195901353,0.07692307692307693,0.17985611510791366,0.17105263157894737,0.12703395944104523,0.1571004889518262,1.0805084745762712,0.0973041039436781
00-0000166,2003,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06944444444444445
00-0000166,2004,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,41,41,377.0,1,0.0,0.0,0.0,0.0,21.0,25.68524510378325,0,0.0,2.266334863966443,0.0,0.0,0.0,43.7,84.7,15,0.08488612836438923,,,,0.1225219369515762,0.05263157894736842,0.1510791366906475,0.13924050632911392,0.08757675794947231,0.10854386535073465,0.7805383022774327,0.07762239043970746
00-0000166,2005,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,21,21,170.0,1,0.0,0.0,0.0,0.0,9.0,12.423229958688445,0,0.0,1.1716557550300315,0.0,0.0,0.0,23.0,44.0,14,0.05060240963855422,,,,0.0545046489259378,0.0625,0.06,0.060240963855421686,0.0585023244629689,0.05610371914075024,0.40963855421686746,0.03715714092690177
00-0000166,2006,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,18,18,160.0,2,0.0,0.0,80.0,80.0,10.0,13.341677719377913,0,14.608754208754208,1.101259426847662,0.8229388987775177,2.2279463694157555,0.0,28.0,46.0,8,0.07659574468085106,0.03944773175542406,0.11299435028248588,0.14645180242561584,0.10617120106171202,0.2222222222222222,0.1388888888888889,0.14814814814814814,0.1641967116419671,0.12938140529381406,0.6808510638297872,0.08826125330979699
00-0000242,2000,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,9,15,109.0,1,0.0,0.0,0.0,0.0,5.0,3.9936285243020393,0,0.0,0.5452628452628452,0.0,0.0,0.0,16.9,25.9,5,0.08875739644970414,,,,0.09412780656303972,0.16666666666666666,0.11363636363636363,0.12,0.1303972366148532,0.1086355785837651,0.6449704142011834,0.06847866321188725
00-0000242,2002,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.4977067237487063,0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,1,0.022727272727272728,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0000727,2001,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,-5.194250765955076,0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,1,0.023809523809523808,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
